Title,Music Genre,startDate,endDate,duration,Camping,Venue,streetAddress,addressLocality,county,region,postalCode,Country,Capacity,lat,long
Cropredy Festival,Folk/Acoustic,08/08/2025,10/08/2025,3,Yes,Cropredy Festival Site,Williamscot Road,Cropredy,Oxfordshire,South East,OX17 1PQ,England,"6,500",52.1151514,-1.3153917
Cross The Tracks,Soul/Funk/R&B,25/05/2025,25/05/2025,1,No,Brockwell Park,Norwood Road,Brixton,,London,SE24 9BJ,England,"25,000",51.4463864,-0.1060472
Cursus Cider & Music Festival,Cider/Food,23/05/2025,25/05/2025,3,Yes,Myncen Farm,Minchington,Blandford Forum,Dorset,South West,DT11 8DH,England,500,50.9311764,-2.0455484
Deer Shed Festival,Mixed/General,25/07/2025,28/07/2025,4,Yes,Baldersby Park,,Topcliffe,Yorkshire,Yorkshire and The Humber,YO7 3BZ,England,"10,000",54.1809266,-1.4072498
Derbyshire Sausage and Cider Festival,Cider/Food,27/06/2025,29/06/2025,3,Yes,Catton Park,,Walton-on-Trent,Derbyshire,East Midlands,DE12 8LN,England,"10,000",52.7352306,-1.6953249
Deva Fest,Retro/Nostalgia,07/08/2025,10/08/2025,4,Yes,Cholmondeley Castle,,Malpas,Cheshire,North West,SY14 8AH,England,"20,000",53.0573419,-2.6930197
Down at the Abbey,Folk/Acoustic,05/09/2025,06/09/2025,2,No,Reading Abbey Ruins,Abbot\'s Walk,Reading,Berkshire,South East,RG1 3BA,England,"2,000",51.455359,-0.9656443
Download Festival,Rock/Metal,11/06/2025,15/06/2025,5,Yes,Donington Park,,Donington,Leicestershire,East Midlands,DE74 2RP,England,"111,000",52.8345109,-1.3335463
Ealing Blues Festival,Jazz/Blues,26/07/2025,27/07/2025,2,No,Walpole Park,Mattock Lane,Ealing,,London,W5 5HS,England,"5,000",51.5081882,-0.3074671
Eden Festival,Mixed/General,12/06/2025,15/06/2025,4,Yes,Raehills Meadows,,Moffat,Dumfriesshire,South Scotland,DG11 1HQ,Scotland,"3,000",55.2223533,-3.462276
Elderflower Fields Festival,Folk/Acoustic,23/05/2025,26/05/2025,4,Yes,Pippingford Park,Nutley,Uckfield,East Sussex,South East,TN22 3HW,England,"2,000",51.0572707,0.0523518
Ely Folk Festival,Folk/Acoustic,11/07/2025,13/07/2025,3,Yes,Ely Football Club,Ely Outdoor Centre,Ely,Cambridgeshire,East of England,CB6 2SH,England,"1,000",52.4106614,0.2492464
End of the Road Festival,Mixed/General,28/08/2025,31/08/2025,4,Yes,Larmer Tree Gardens,Blandford Forum,Salisbury,Wiltshire,South West,SP5 5PT,England,"14,000",50.9586743,-2.080203
Equinox Festival,Electronic/Dance,18/09/2025,22/09/2025,5,Yes,Chalk Farm,Salters Lane,Grimsby,Lincolnshire,East Midlands,DN36 5RS,England,"3,000",53.436823,-0.0770822
EskFest,Mixed/General,10/07/2025,12/07/2025,3,Yes,The Woolpack Inn,Hardknott Pass,Eskdale,Cumberland,North West,CA19 1TH,England,350,54.3980078,-3.2482492
Exile Music Festival,Mixed/General,27/06/2025,29/06/2025,3,Yes,Sabine Hay,off Oldfield Lane,Darley Dale,Derbyshire,East Midlands,DE4 2LN,England,500,53.1595938,-1.6134599
Faerie Festival,Folk/Acoustic,16/05/2025,18/05/2025,3,Yes,Pleasant Rise Farm,,Alfriston,East Sussex,South East,BN26 5TN,England,500,50.8046842,0.1509673
Fire in the Mountain,Folk/Acoustic,29/05/2025,31/05/2025,3,Yes,Cwmnewidion Isaf,,Aberystwyth,Ceredigion,Mid Wales,SY23 4RA,Wales,"2,000",52.3733438,-3.8581125
Folk by the Oak,Folk/Acoustic,20/07/2025,20/07/2025,1,No,Hatfield House,Great North Road,Hatfield,Hertfordshire,East of England,AL9 5NQ,England,"8,000",51.76043,-0.2096296
FolkEast,Folk/Acoustic,14/08/2025,17/08/2025,4,Yes,Glemham Hall,,Woodbridge,Suffolk,East of England,IP13 0BT,England,"2,000",52.1805968,1.4307936
Foolhardy Folk Festival,Folk/Acoustic,24/08/2025,24/08/2025,1,No,Nottingham Arboretum,Waverley Street,Nottingham,Nottinghamshire,East Midlands,NG7 4HF,England,"3,000",52.9601915,-1.1591177
Forbidden Forest,Electronic/Dance,29/05/2025,01/06/2025,4,Yes,Belvoir Castle,,Grantham,Leicestershire,East Midlands,NG32 1PE,England,"22,000",52.8947146,-0.7826065
Forwards Festival,Electronic/Dance,23/08/2025,24/08/2025,2,No,Clifton Downs,Stoke Road,Bristol,City of Bristol,South West,BS5 6XA,England,"25,000",51.4743477,-2.5584552
Fuse Lichfield,Mixed/General,11/07/2025,13/07/2025,3,No,Beacon Park,,Lichfield,Staffordshire,West Midlands,WS13 6QZ,England,"15,000",52.6820406,-1.8318125
Fynefest,Beer/Food,30/05/2025,01/06/2025,3,Yes,Fyne Ales Brewery,Achadunan,Cairndow,Argyll and Bute,West Scotland,PA26 8BJ,Scotland,"3,000",56.2903004,-4.8980447
GALA,Electronic/Dance,23/05/2025,25/05/2025,3,No,Peckham Rye Park,,Peckham,,London,SE15 3UA,England,"9,000",51.4589139,-0.0626172
Gate To Southwell Festival,Folk/Acoustic,03/07/2025,06/07/2025,4,Yes,Near Archway House,Kirklington,near Southwell,Nottinghamshire,East Midlands,NG22 8NX,England,"3,000",53.1170443,-0.9920496
Get Together,Rock/Alternative,17/05/2025,17/05/2025,1,No,Kelham Island,,Sheffield,South Yorkshire,Yorkshire and The Humber,S3 8BX,England,"10,000",53.3922006,-1.4753929
Gig on the Green Yateley,Tribute Acts,28/06/2025,29/06/2025,2,No,Yateley Green,,Yateley,Hampshire,South East,GU46 7RP,England,"5,000",51.3428003,-0.836555
Glastonbudget,Tribute Acts,22/05/2025,25/05/2025,4,Yes,Turnpost Farm,,Wymeswold,Leicestershire,East Midlands,LE12 6ST,England,"10,000",52.8073269,-1.0994767
Glastonbury Festival,Mixed/General,25/06/2025,29/06/2025,5,Yes,Worthy Farm,Pilton,Shepton Mallet,Somerset,South West,BA4 4AZ,England,"210,000",51.1641036,-2.5937432
Godney Gathering,Mixed/General,18/07/2025,19/07/2025,2,Yes,Garslade Farm,,Godney,Somerset,South West,BA5 1RX,England,"4,999",51.1806209,-2.7334331
GoldCoast Oceanfest,Mixed/General,20/06/2025,22/06/2025,3,No,Croyde Bay,,Croyde,Devon,South West,EX33 1NZ,England,"15,000",51.1336842,-4.2370329
Gottwood Festival,Electronic/Dance,12/06/2025,15/06/2025,4,Yes,Carreglwyd Estate,Llanfaethlu,Holyhead,Anglesey,North Wales,LL65 4NY,Wales,"1,500",53.3545125,-4.5467596
Gower Folk Festival,Folk/Acoustic,13/06/2025,15/06/2025,3,Yes,Weobley Castle Farm,,Llanrhidian,Glamorgan,South Wales,SA3 1HB,Wales,400,51.6103766,-4.1936083
Green Man Festival,Mixed/General,14/08/2025,17/08/2025,4,Yes,Glanusk Park,,Usk Valley,Powys,Mid Wales,NP8 1LP,Wales,"25,000",51.8692327,-3.1766854
Greenbelt Festival,Mixed/General,21/08/2025,24/08/2025,4,Yes,Boughton House,,Kettering,Northamptonshire,East Midlands,NN14 1BJ,England,"10,000",52.4224654,-0.6758644
GuilFest,Mixed/General,05/07/2025,06/07/2025,2,No,Stoke Park,,Guildford,Surrey,South East,GU1 1ER,England,"10,000",51.2415743,-0.5661077
Hardwick Festival,Mixed/General,15/08/2025,17/08/2025,3,Yes,Hardwick Hall,,Sedgefield,Durham,North East,TS21 2EH,England,"11,000",54.6635589,-1.4687747
Harlequin Fayre,Mixed/General,01/08/2025,03/08/2025,3,Yes,Bradmoor Woods,Narford Lane,East Walton,Norfolk,East of England,PE32 1FB,England,"2,500",52.7049978,0.5947425
Heartland Festival,Folk/Acoustic,28/06/2025,29/06/2025,2,No,Pitlochry Recreation Ground,Ferry Road,Pitlochry,Perthshire,Central Scotland,PH16 5DZ,Scotland,"10,000",56.6993228,-3.7325311
HebCelt Fest,Folk/Acoustic,16/07/2025,19/07/2025,4,No,,,Lewis and Harris,Na h-Eileanan Siar,Highlands and Islands of Scotland,HS1 2BW,Scotland,"4,500",58.2091112,-6.37875
Henley Festival,Mixed/General,09/07/2025,13/07/2025,5,No,On the River Banks,,Henley On Thames,Oxfordshire,South East,RG9 1AH,England,"6,000",51.5363149,-0.9024049
Home Farm Fest,Folk/Acoustic,06/06/2025,08/06/2025,3,Yes,Home Farm,Main Street,Yeovil,Somerset,South West,BA22 8RD,England,"5,000",50.9688316,-2.6786914
Home of the Drum,World,25/07/2025,28/07/2025,4,Yes,Workhouse A490,,Llanfyllin,Powys,Mid Wales,SY22 5LD,Wales,400,52.7569905,-3.2556634
Into the Fields,Tribute Acts,23/05/2025,25/05/2025,3,Yes,Meggies Burn,,Blyth,Northumberland,North East,NE24 3PH,England,"1,500",55.1009835,-1.4971428
Irlam Live,Tribute Acts,30/05/2025,01/06/2025,3,No,Prince's Park,Liverpool Road,Irlam,Lancashire,North West,M44 6BR,England,"5,000",53.4440668,-2.4209373
Isle of Wight Festival,Mixed/General,19/06/2025,22/06/2025,4,Yes,Seaclose Park,,Newport,Isle of Wight,South East,PO30 2DN,England,"90,000",50.70698,-1.2904592
Jazz Cafe Festival,Jazz/Blues,03/08/2025,03/08/2025,1,No,Burgess Park,Albany Road,Camberwell,,London,SE5 0AL,England,"8,000",51.475561,-0.0908654
Junction 2,Electronic/Dance,25/07/2025,27/07/2025,3,No,Boston Manor Park,Boston Manor Road,Brentford,Ealing,London,TW8 9LX,England,"12,000",51.4958311,-0.3236569
Jurassic Dance,Electronic/Dance,29/08/2025,31/08/2025,3,Yes,Wilkswood Farm,,Swanage,Dorset,South West,BH19 3DX,England,"2,000",50.6201625,-2.008224
Kaleidoscope Festival,Mixed/General,12/07/2025,12/07/2025,1,No,Alexandra Palace,Alexandra Palace Way,Haringey,,London,N22 7AY,England,"11,000",51.5944834,-0.1305016
Kelburn Garden Party,Mixed/General,03/07/2025,07/07/2025,5,Yes,Kelburn Castle,Kelburn Estate Fairlie,Fairlie,North Ayrshire,West Scotland,KA29 0BE,Scotland,"1,300",55.7713087,-4.8462434
Kendal Calling,Mixed/General,31/07/2025,03/08/2025,4,Yes,Lowther Deer Park,,Hackthorpe,Westmorland,North West,CA10 2HT,England,"40,000",54.6034837,-2.7134798
Kineton Music Festival,Tribute Acts,21/06/2025,21/06/2025,1,Yes,Kineton Sports And Social Club,,Little Kineton,Warwickshire,West Midlands,CV35 0DT,England,"1,000",52.1513269,-1.5136285
Knockengorroch World Ceilidh,Celtic/Roots/World,22/05/2025,25/05/2025,4,Yes,Knockengorroch Farm,,Carsphairn,Dumfriesshire,South Scotland,DG7 3TJ,Scotland,"3,000",55.2510199,-4.3204405
Kubix Festival,Retro/Nostalgia,12/07/2025,12/07/2025,1,No,Herrington Country Park,Houghton-Le-Spring,Sunderland,Durham,North East,DH4 7EL,England,"5,000",54.8762895,-1.4857134
Lakefest,Mixed/General,06/08/2025,10/08/2025,5,Yes,Eastnor Castle,,Ledbury,"Herefordshire, County of",West Midlands,HR8 1RL,England,"12,000",52.0300327,-2.3906149
Landed Festival,Electronic/Dance,18/08/2025,20/08/2025,3,Yes,Doldowlod Estate,A470,Rhayader,Powys,Mid Wales,LD1 6HH,Wales,"2,000",52.2545201,-3.4739887
Latitude,Mixed/General,24/07/2025,27/07/2025,4,Yes,Henham Park Estate,,Beccles,Suffolk,East of England,NR34 8AN,England,"35,000",52.3485689,1.595545
Lazydays Festival,Mixed/General,25/07/2025,26/07/2025,2,No,Priory Park,Victoria Avenue,Southendon-Sea,Essex,East of England,SS2 6ND,England,"10,000",51.5551245,0.7017067
Leeds Festival,Rock/Alternative,20/08/2025,24/08/2025,5,Yes,Bramham Park,,Leeds,Yorkshire,Yorkshire and The Humber,LS23 6ND,England,"80,000",53.8699491,-1.3796684
LeeStock,Mixed/General,24/05/2025,25/05/2025,2,Yes,Melford Hall,Long Melford,Sudbury,Suffolk,East of England,CO10 9AA,England,"1,500",52.0826316,0.7226754
Lido Festival - Charli xcx,Rock/Alternative,14/06/2025,14/06/2025,1,No,Victoria Park,,Tower Hamlets,Hackney,London,E9 7BT,England,"40,000",51.5392914,-0.040443
Lido Festival - Jamie XX,Rock/Alternative,07/06/2025,07/06/2025,1,No,Victoria Park,,Tower Hamlets,Hackney,London,E9 7BT,England,"40,000",51.5392914,-0.040443
Lido Festival - London Grammar,Rock/Alternative,15/06/2025,15/06/2025,1,No,Victoria Park,,Tower Hamlets,Hackney,London,E9 7BT,England,"40,000",51.5392914,-0.040443
Lindisfarne Festival,Mixed/General,28/08/2025,31/08/2025,4,Yes,Beal Farm,,Berwick upon Tweed,Northumberland,North East,TD15 2PB,England,"8,000",55.6781742,-1.9047038
Little Orchard Cider & Music Festival,Cider/Food,12/09/2025,14/09/2025,3,Yes,Healey'S Cyder Farm,,Penhallow,Cornwall,South West,TR4 9LW,England,"7,500",50.3107197,-5.1284475
Live at Leeds In The Park,Rock/Alternative,24/05/2025,24/05/2025,1,No,Temple Newsam Park,,Leeds,Yorkshire,Yorkshire and The Humber,LS15 0AD,England,"79,999",53.7900957,-1.4550566
Live on the Wye,Mixed/General,30/05/2025,31/05/2025,2,Yes,Redbrook Football Field,,Redbrook,Gloucestershire,South West,NP25 4LZ,Wales,"1,000",51.7841131,-2.6721754
Livefields Festival,Tribute Acts,12/07/2025,12/07/2025,1,No,Oakwell Hall,Nova Lane,Birstall,Kirklees,Yorkshire and The Humber,WF17 9LG,England,250,53.7394068,-1.6709642
Lost Minds,Electronic/Dance,12/07/2025,12/07/2025,1,No,Exhibition Park,Claremont Raod,Newcastle upon Tyne,Northumberland,North East,NE2 4BJ,England,"5,000",54.9794057,-1.6228919
Lost Village,Electronic/Dance,21/08/2025,24/08/2025,4,Yes,Lincolnshire forestry,,Witham St Hughs,Lincolnshire,East Midlands,LN6 9HN,England,"5,000",53.1528048,-0.6809606
Love Saves The Day Festival,Mixed/General,24/05/2025,25/05/2025,2,No,Ashton Court Estate,Long Ashton,Bristol,City of Bristol,South West,BS41 9JN,England,"25,000",51.4437012,-2.6381413
Love Supreme Jazz Festival,Jazz/Blues,04/07/2025,06/07/2025,3,Yes,Glynde Place,,Glyne,East Sussex,South East,BN8 6SX,England,"15,000",50.8643814,0.0685738
Margate Soul Festival,Soul/Funk/R&B,01/08/2025,03/08/2025,3,No,Newgate Lower Promenade,Beneath the iconic Lido sign,Margate,Kent,South East,CT9 1DD,England,"4,000",51.3900826,1.3826801
Marvellous (Dinton Pastures),Tribute Acts,20/07/2025,21/07/2025,2,Yes,Dinton Pastures Country Park,Davis Street,Wokingham,Berkshire,South East,RG10 0TH,England,"3,500",51.4420709,-0.8684651
Maui,Mixed/General,22/08/2025,24/08/2025,3,Yes,Hill Farm,,Dereham,Norfolk,East of England,NR19 2NR,England,"5,000",52.6844662,0.9114349
Maverick Festival,Americana/Country,04/07/2025,06/07/2025,3,Yes,Easton Farm Park,Easton,Woodbridge,Suffolk,East of England,IP13 0EQ,England,"2,000",52.1770767,1.329574
Minety Music Festival,Mixed/General,03/07/2025,06/07/2025,4,Yes,Kinch'S Fields,Hornbury Hill,Minety,Wiltshire,South West,SN16 9QH,England,"2,000",51.6142805,-1.9672324
Mint Festival,Electronic/Dance,03/05/2025,04/05/2025,2,No,Newsam Green Farm,,Leeds,Yorkshire,Yorkshire and The Humber,LS24 9SE,England,"15,000",53.8343571,-1.2043542
Moovin Festival,Electronic/Dance,13/06/2025,15/06/2025,3,Yes,Whitebottom Farm,Etherow Park,Compstall,Cheshire,North West,SK6 5JQ,England,"3,500",53.4209746,-2.0388417
Mosborough Music Festival,Rock/Alternative,07/06/2025,07/06/2025,1,No,Don Valley Grass Bowl,,Sheffield,Yorkshire,Yorkshire and The Humber,S9 3TL,England,"5,000",53.3950963,-1.4249041
Moseley Folk & Arts Festival,Folk/Acoustic,29/08/2025,31/08/2025,3,No,Moseley Park,Moseley,Birmingham,Birmingham,West Midlands,B13 8DD,England,"6,000",52.4471017,-1.8883955
Mucky Weekender,Electronic/Dance,11/09/2025,13/09/2025,3,Yes,Vicarage Farm,,Winchester,Hampshire,South East,SO21 3BL,England,"5,000",51.1789485,-1.2036495
Music at the Crossroads,Folk/Acoustic,04/07/2025,06/07/2025,3,Yes,Ferris Hill Farm,,Hook Norton,Oxfordshire,South East,OX15 5DF,England,"2,000",52.0114829,-1.4841515
Napton Music Festival,Mixed/General,04/07/2025,05/07/2025,2,Yes,Village Hall,,Napton on the Hill,Warwickshire,West Midlands,CV47 8HX,England,600,52.2637369,-1.3269853
Naughty Corner Festival,Rock/Alternative,04/09/2025,07/09/2025,4,Yes,Fernhill Farm,Cheddar Road,Compton Martin,Somerset,South West,BS40 6LD,England,"1,200",51.2940784,-2.6776842
Neighbourhood Weekender,Mixed/General,25/05/2025,26/05/2025,2,No,Victoria Park,Knutsford Road,Warrington,Cheshire,North West,WA4 4UK,England,"25,000",53.3408793,-2.594305
New Forest Folk Festival,Folk/Acoustic,02/07/2025,06/07/2025,5,Yes,Powells Farm,Salisbury Road,near Romsey,Hampshire,South East,SO51 6EF,England,"2,000",50.9800645,-1.6046335
Noisily Festival,Electronic/Dance,10/07/2025,13/07/2025,4,Yes,Barkestone Wood,,Noseley,Leicestershire,East Midlands,LE7 9EH,England,"6,000",52.5804341,-0.9098209
Off The Tracks Summer Festival,Mixed/General,29/08/2025,31/08/2025,3,Yes,Donington Park Farmhouse Hotel,Melbourne Rd,near Castle Donington,Leicestershire,East Midlands,DE74 2RN,England,"2,000",52.822469,-1.3797273
Onboard The Craft Festival,Rock/Alternative,04/09/2025,08/09/2025,5,Yes,Stoke Prior Sports & Country Club,Stoke Prior,Bromsgrove,Worcestershire,West Midlands,B60 4AL,England,500,52.2950661,-2.0818988
Outbreak Fest,Rock/Alternative,13/06/2025,13/06/2025,1,No,Victoria Park,,Tower Hamlets,Hackney,London,E9 7BT,England,"40,000",51.5392914,-0.040443
Outcider Festival,Cider/Food,31/07/2025,03/08/2025,4,Yes,Fernhill Farm,,Compton Martin,Somerset,South West,BS40 6LD,England,499,51.2940784,-2.6776842
Paradhis Festival,Eco/Alternative,04/07/2025,05/07/2025,2,Yes,Boconnoc,,Lostwithiel,Cornwall,South West,PL22 0RG,England,"5,000",50.419477,-4.611353
Parklife Festival,Mixed/General,14/06/2025,15/06/2025,2,No,Heaton Park,,Manchester,Lancashire,North West,M25 2SW,England,"80,000",53.5364251,-2.2553098
Parklife Weekender,Electronic/Dance,08/06/2025,09/06/2025,2,No,Heaton Park,,Manchester,Lancashire,North West,M25 2SW,England,"80,000",53.5364251,-2.2553098
Picnic and Pop Festival,Tribute Acts,26/07/2025,27/07/2025,2,No,Manor Park,,Aldershot,Hampshire,South East,GU12 4LT,England,"5,000",51.2455931,-0.7544625
Poole Harbour Festival,Mixed/General,25/07/2025,27/07/2025,3,No,Baiter Park,Catalina Drive,Poole,"Bournemouth, Christchurch and Poole",South West,BH15 1TQ,England,"10,000",50.7133803,-1.9736103
Priddy Folk Festival,Folk/Acoustic,11/07/2025,13/07/2025,3,Yes,Various Venues,,Priddy,Somerset,South West,BA5 3BB,England,"1,300",51.2556961,-2.6784243
Purbeck Valley Folk Festival,Folk/Acoustic,14/08/2025,17/08/2025,4,Yes,Purbeck Valley Farm,Valley Road,Corfe Castle,Dorset,South West,BH20 5HU,England,"3,000",50.6234866,-2.02844
Reading Festival,Rock/Alternative,20/08/2025,24/08/2025,5,Yes,Little Johns Farm,Richfield Avenue,Reading,Berkshire,South East,RG1 8EQ,England,"90,000",51.4636704,-0.9854659
Readipop Festival,Mixed/General,11/07/2025,13/07/2025,3,No,Christchurch Meadows,Caversham,Reading,Berkshire,South East,RG4 8BY,England,"4,500",51.4663864,-0.9721038
